stop_id,stop_name,stop_lat,stop_lon
"3890","Evans St/Ballarat Rd (Braybrook)","-37.7807556343608","144.862262892344"
"3896","Short St/Ballarat Rd (Maidstone)","-37.7856080891427","144.875941985763"
"3900","Park St/Ballarat Rd (Footscray)","-37.7905107692158","144.887986236772"
"39057","Tarneit Rd/Heaths Rd (Hoppers Crossing)","-37.8756053450772","144.665599089204"
"39103","La Trobe Uni/Kingsbury Dr (Bundoora)","-37.717718961261","145.043866769504"
"39119","Clayton Rd/Ferntree Gully Rd (Mount Waverley)","-37.8989972838072","145.123826412185"
"3914","Alford St/Ballarat Rd (Sunshine North)","-37.7786905067464","144.844383356033"
"393","The Mall/Oriel Rd (Heidelberg West)","-37.7482938303404","145.041529751928"
"3953","Balaclava Rd/Orrong Rd (Caulfield North)","-37.8702061017988","145.008748650624"
"39576","Hawthorn Rd/Nepean Hwy (Brighton East)","-37.9139757684213","145.016202460206"
"39577","Hawthorn Rd/Nepean Hwy (Brighton East)","-37.9142987005202","145.016114159672"
"39586","Seaholme Primary School/Millers Rd (Seaholme)","-37.8643138951705","144.839708056026"
"39589","Victoria St/Queen St (Altona Meadows)","-37.8734298254488","144.785692464563"
"39598","Victoria St/Queen St (Altona Meadows)","-37.8733193699632","144.786048187331"
"396","Southern Rd/Oriel Rd (Heidelberg West)","-37.7423013189029","145.042640996548"
"39600","Seaholme Primary School/Millers Rd (Altona)","-37.8642284554748","144.839471845832"
"39610","Western Ave/Mickleham Rd (Westmeadows)","-37.6838845417113","144.8830089151"
"39613","Walker St/Lonsdale St (Dandenong)","-37.9874383752034","145.214056819795"
"39622","Gardiner Rd/Ferntree Gully Rd (Notting Hill)","-37.8998661001672","145.129718264716"
"39624","Warrigal Rd/Princes Hwy (Oakleigh)","-37.8933003226774","145.089013929901"
"39627","Hotham St/Princes Hwy (St Kilda East)","-37.8591167853081","145.000488210013"
"39628","Williams Rd/Princes Hwy (Prahran)","-37.8588607013139","145.001859097722"
"39631","Darling Rd/Princes Hwy (Malvern East)","-37.8839086227132","145.058647702856"
"39632","Chadstone Rd/Princes Hwy (Malvern East)","-37.8867987207356","145.077697492301"
"39634","Warrigal Rd/Princes Hwy (Oakleigh)","-37.8928331968231","145.089105611789"
"39645","Shankland Bvd/Pascoe Vale Rd (Meadow Heights)","-37.6434472839518","144.928617942584"
"39649","Niddrie Central Shopping Centre/Keilor Rd (Essendon)","-37.7375246345982","144.892670423277"
"39673","Brunswick Rd/Lygon St (Brunswick East)","-37.7788080814227","144.970715205405"
"39686","St Albans Railway Station/Alfrieda St (St Albans)","-37.7439699673416","144.800576176574"
"39717","La Trobe Uni/Kingsbury Dr (Bundoora)","-37.7172691225393","145.04391263597"
"39729","Brunswick St/Johnston St (Fitzroy)","-37.798305670871","144.978869863073"
"39743","Kew Shopping Centre/High St (Kew)","-37.8065826277449","145.031244814699"
"39745","Bulleen Rd/Doncaster Rd (Balwyn North)","-37.7925748168359","145.070795947683"
"39747","Bayley Gr/Doncaster Rd (Doncaster)","-37.7880574331167","145.119686090851"
"39758","Maroondah Hwy/Manchester Rd (Mooroolbark)","-37.7589585212675","145.315747063904"
"39772","Bayley Gr/Doncaster Rd (Doncaster)","-37.7882270880652","145.119023157146"
"39789","Ferntree Gully Cemetery/Forest Rd (Ferntree Gully)","-37.8824471861829","145.297201076915"
"39796","Ferntree Gully Rd/Burwood (west) Hwy (Ferntree Gully)","-37.8818693381163","145.274234833338"
"39799","Wellington Rd/Jells Rd (Wheelers Hill)","-37.9210288687856","145.186313666274"
"3999","Greythorn SC/Doncaster Rd (Balwyn North)","-37.7910141295593","145.096172034997"
"4005","Harp Junction/High St (Kew East)","-37.7994274731378","145.050219840327"
"40182","Bayswater Railway Station/Station St (Bayswater)","-37.8422010164484","145.268295836692"
"40234","Craigieburn Golf Course/Craigieburn Rd (Craigieburn)","-37.5968957580019","144.921177116176"
"40311","Tonkin St/Dromana Pde (Safety Beach)","-38.3160232390299","144.992013640076"
"40352","Tonkin St/Dromana Pde (Safety Beach)","-38.3160150152991","144.992059616934"
"40693","Watergardens Railway Station/Watergardens Circuit Rd (Sydenham)","-37.7009140599877","144.77426626833"
"40947","Sunshine Station/Dickson St (Sunshine)","-37.7871888942708","144.832622340678"
"40967","Sladen St/Monahans Rd (Cranbourne)","-38.1103964956446","145.265277390804"
"41066","Chadstone Rd/Princes Hwy (Malvern East)","-37.8870627399099","145.076758215417"
"41078","Waterfront City/Footscray Rd (West Melbourne)","-37.8118357893744","144.941095439228"
"41082","St Pauls Cathedral/Flinders St (Melbourne City)","-37.8171320270622","144.968439243126"
"41113","Endeavour Hills SC/Matthew Flinders Ave (Endeavour Hills)","-37.9762656524777","145.258045594683"
"41118","Clyde Rd/Greaves Rd (Berwick)","-38.0596859389367","145.337507273476"
"41150","Regency Dr/Lauderdale Rd (Berwick)","-38.025225352163","145.310397411463"
"41153","Coventry Rd/Lauderdale Rd (Berwick)","-38.0256810366986","145.310751508186"
"41199","Vermont South Shopping Centre/Burwood Hwy (Vermont South)","-37.8563764273808","145.182761831505"
"41303","Ascot St/Central Ave (Altona Meadows)","-37.870341947763","144.764879639005"
"41314","Blyth St/Maidstone St (Altona)","-37.8706884065701","144.811602301054"
"42067","Springvale Rd/Ferntree Gully Rd (Glen Waverley)","-37.9032621794435","145.160499875486"
"42275","Dromana Ave/Matthews Ave (Airport West)","-37.7142588193765","144.890800108372"
"4228","Princes Hwy/Belgrave-Hallam Rd (Hallam)","-38.0043683676162","145.27356489518"
"4234","Marshall Pl/Frawley Rd (Hallam)","-37.9996160737728","145.25808544097"
"4240","Power Rd/Paperbark St (Doveton)","-37.995256349712","145.238863430559"
"4264","Parkmore SC/Cheltenham Rd (Keysborough)","-37.9934075514704","145.173794015085"
"43367","Bracken Way/The Lakes Bvd (South Morang)","-37.6314560951704","145.087310430899"
"43370","Taronga Way/The Lakes Bvd (South Morang)","-37.6319169731669","145.088499788999"
"434","Diggins Ct/Heatherton Rd (Noble Park)","-37.9640914647469","145.166222422523"
"43478","Station St/Nepean Hwy (Seaford)","-38.1038927876357","145.125838728086"
"43479","132 Nepean Hwy (Seaford)","-38.1040459220484","145.125834814826"
"4349","Blackburn Rd/Doncaster Rd (Doncaster East)","-37.7891125341315","145.160824544906"
"4353","Wetherby Rd/Doncaster Rd (Doncaster East)","-37.7872127879618","145.144848827276"
"4365","Greythorn SC/Doncaster Rd (Balwyn North)","-37.7919372472231","145.093627247105"
"43717","Elizabeth St/Lonsdale St (Melbourne City)","-37.8124839214442","144.961773860471"
"43904","Mickleham Rd/Broadmeadows Rd (Gladstone Park)","-37.6820600923906","144.883786491061"
"44266","Dunnings Rd (Point Cook)","-37.884582527537","144.733920910863"
"44340","Palmers Rd/Sayers Rd (Williams Landing)","-37.8538648267647","144.743874545145"
"44341","Palmers Rd/Sayers Rd (Williams Landing)","-37.8537306058901","144.743924098182"
"44354","Forsyth Rd/Sayers Rd (Truganina)","-37.8526725083257","144.730136572865"
"44427","Flower Pot Park/Boardwalk Bvd (Point Cook)","-37.8945064848226","144.728442590742"
"447","James St/Heatherton Rd (Dandenong North)","-37.9693238488728","145.209270724414"
"45451","Red Hill Rd/Heatherton Rd (Springvale)","-37.9618933369632","145.14844067236"
"45452","Spring Rd/Heatherton Rd (Springvale South)","-37.9619328244574","145.148086822248"
"4584","Meadow Heights Medical Centre/Hudson Cct (Meadow Heights)","-37.6515417625801","144.921036923273"
"46016","Margaret Ave/Scoresby Rd (Bayswater)","-37.8592893977614","145.267168511779"
"46065","Central Square Shopping Centre/Central Ave (Altona Meadows)","-37.8712384316992","144.775572449996"
"46386","Bridge Inn Rd/Plenty Rd (Mernda)","-37.5999765127472","145.096227018991"
